yoruba	english
A gbé pánẹ́ẹ̀lì <UNK> kalẹ̀ láti ṣàfihàn lórí ojú kọ̀ǹpútà d tí kò sínílẹ̀ lọ́wọlọ́wọ́. Kò ki pánẹ́ẹ̀lì yìí.	Panel <UNK> is set to be displayed on screen d which is not currently available. Not loading this panel.
Pánẹ́ẹ̀lì Ìléfòó Ọ̀tún	Right Floating Panel
Cyrillic (MacCyrillic)	Cyrillic (MacCyrillic)
Wanda ẹja GNOME	Wanda The GNOME Fish
Kò lè ṣẹ̀dá atọ́nà ìgbà díẹ̀ nínú “<UNK>”.	Could not create a temporary directory in “<UNK>”.
Ipò nǹkan lórí pánẹ́ẹ̀lì	Object's position on the panel
Wá ìṣẹ̀lẹ̀ ọ̀rọ̀ tàbí àpólà tilẹ̀	Find previous occurrence of the word or phrase
Àmúwọlé Àdírẹ̀sì	Address Entry
Fún Java lágbára iṣẹ́	Enable
Fi Àwọn Àgbéwọlé Hàn	Show Downloads
Ìtalólobó tí a ṣàfihàn fún dúrọ́wà tàbí àtòjọ-ẹ̀yàn	Tooltip displayed for menu
Fi Àwòrán Pamọ́ Gẹ́gẹ́ bíi	Save Image As
Fi àwọn àmúwọlé si	Include <Exclude>d entries
A kò rí fáìlì “<UNK>”.	The file “<UNK>” has been downloaded.
Ó kùnà láti tún bẹ̀rẹ̀: <UNK>	Failed to restart: <UNK>
Aaye si Agbaye\r Wonu Agbaye	Universal Access
Mú kí ìṣàmúlò-ètò yìí jáde pẹ̀lú ipá? (Àwọn àkọsílẹ̀ èyíkèyí tó wà ní ṣíṣí ní yóò sọnù.)	If you choose to force an application to exit, unsaved changes in any open documents in it might get lost.
Fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn	Show week numbers in calendar
Ìgúnrégé wákàtí	12 hour format
Àkọ́lé ojú-ìwé	Page title
Àwọn àsẹ́sírì ojù-iṣẹ́	Desktop accessories
Àṣìṣe kíka oye fọ́nrán GConf <UNK>: <UNK>	Error reading GConf string value <UNK>: <UNK>
Orúkọ sáà náà wà nílẹ̀	A session named ‘<UNK>’ already exists
Fáìlì	File
Kò lè ṣí fáìlì sáà <UNK> fún kíkọ: <UNK>	Could not open session file <UNK> for writing: <UNK>
Fàyè gba àwon fèrèsé ìtasókè	Allow popup windows
Kò lè ṣàfihàn àkọsílẹ̀ ìrànwọ́	Could not display help document <UNK>
Fọkàn tán ìròyìn ààbò yìí láti ìsìnyí lọ	Display security information for the web page
Nordic (ISO-8859-10)	Nordic (ISO-8859-10)
Kò lè darapọ̀ mọ́ alábòójútó sáà	- the GNOME session manager
Cyrillic (ISO-8859-5)	Cyrillic (ISO-8859-5)
Hebrew (Windows-1255)	Hebrew (Windows-1255)
Tó bá jẹ́ òótọ́, a fi àwọn ìtalólobó-irinṣẹ́ hàn fún àwọn nǹkan inú àwọn pánẹ́ẹ̀lì.	If true, tooltips are shown for objects in panels.
Àwọn Ibi	Places
Rọbà Gnome tíó-dárapúpọ	The Squeaky Rubber GNOME
Isipaya eda GNOME	Display information on this GNOME version
Fẹ̀ẹ́	Zoom Out
Tí a bá fún lágbára iṣẹ́ sáà gnome á́ ṣí òǹlò náà lórí kó tó parí sáà kan.	If enabled, gnome-session will prompt the user before ending a session.
Fiàwọn ìṣísẹ̀ hàn	Show seconds
Gbé àwon aṣàfilọ́lẹ̀ yọ lórí ohun-èlò aṣèkúté	Highlight launchers on mouseover
Àwọn àlàyé	Details
Àwọn Àbùdá Kúkì	Cookie Properties
Ìfẹsẹ̀múlẹ̀	Validity
Ṣàgbékalẹ̀ sáà lọ́wọ́lọ́wọ́	Set the current session name
Ó kùnà	Download started
Tó bá jẹ́ òótọ́, a óò sọ ìtumọ̀ nǹkan náà ní àjẹmọ́ apá ọ̀tún igun pánẹ́ẹ̀lì (tàbí ìsàlẹ̀ tó bá jẹ́ òòró) náà.	If true, the position of the object is interpreted relative to the right (or bottom if vertical) edge of the panel.
1$s, 2$s	1$s 2$s 3$s
Agbègbè Ìkéde Pánẹ́ẹ̀lì	Factory for notification area
Pánẹ́ẹ̀lì GNOME	About the GNOME Panel
Àrídájú ìyọkúrò pánẹ́ẹ̀lì	Confirm panel removal
friendly timeWed 12:34 am	Yesterday I:M p
Ṣàgbéwọlé fódà:	The downloads folder
x-western	x-western
kò sí àṣẹ láti fi bẹrẹ	No command (Exec) to launch
Sọ̀rọ̀ lẹ́ẹ̀kan si	Speak again
Àwọn Ìṣàmúlò-ètò	Web Applications
Gbogbo àwọn fáìlì	All files
A ti gbé ojú-ìwé tí a sàmì rẹ̀ lọ sí “<UNK>”.	The bookmarked page has moved to “<UNK>”.
Lo ipa àkànṣe fún àwọn àkóónú àtòjọ-ẹ̀yàn	Use custom path for menu contents
Wá Àwọn Fáìlì...	Search for Files...
Ìgúnrégé àkànṣe	Custom format
Fi Àwọn Àká-irinṣẹ́ Pamọ́	Hide Toolbars
Nípasẹ	Brought to you by:
Jẹ́ kí àwọn ojú-ìwé wẹ́ẹ̀bù sọ ní pàtó àwọn ìrísí-lẹ́tà wọn	Let web pages specify their own fonts
Má Pajẹ	Delete
Gbé fèrèsé lọ sí ààyè-iṣẹ́ kìíní	Move window to workspace 1
Orúkọ Òǹlò	Copy Username
Àwọn workaround fún àwọn ìṣàmúlò-ètò tó dàrú kò ṣiṣẹ́. Ọ̀pọ̀lọpọ̀ àwọn ìṣàmúlò-ètò kò hùwà dáadáa.	Workarounds for broken applications disabled. Some applications may not behave properly.
Ṣí àwọn àmì-ìwé inú àkọlé yìí nínú àwọn táàbù tuntun	Open the bookmarks in this topic in new tabs
Ẹ̀yà-ara kọ̀ǹpútà àìfojúrí ọ̀fẹ́ ni Awáròyìn Wẹ́ẹ̀bù GNOME; o lè tun pín kí o/tàbí tuntò lábẹ́ àwọn ìwọ̀fún Ìwé-àṣẹ Gbogbogbò ti GNU gẹ́gẹ́ bí a ṣe tẹ̀ẹ́ láti ọwọ́ Àjọ Ẹ̀yà-ara kọ̀ǹpútà Ọ̀fẹ́; yálà ẹ̀yà kejì ti Ìwé-àṣẹ, tàbí (ti ẹ̀yàn rẹ) ẹ̀yà mìíràn tó lè jáde lọ́jọ́ iwájú.	The GNOME Web Browser is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version.
Fi Pamọ́ Lórúkọ...	Save As...
ÀwọnÌwé-ẹ̀rí	Certificates
Pánẹ́ẹ̀lì tí a so mọ́ dúrọ́wà	Panel attached to drawer
Àwọn nọ́ńbà ojú-ìwé	Page numbers
Wòye Ìwé-ẹ̀rí	View Certificate…
Wòye Ìwé-ẹ̀rí	View Certificate#x2026;
Yẹ Fátìrì Ápúlẹ́ẹ̀tì Bonobo Wo	Test Bonobo Applet Factory
Fi líǹkì ojú-ìwé lọ́wọ́lọ́wọ́ ránṣẹ́	Send a link of the current page
Awọn Ìkúndùn	Preferences
Pa fèrèsé dé	Minimize window
Ó sọ ìdarapọ̀ nù fún ìsàfihàn <UNK>; Ó ṣeé ṣe kí a pa sáfà X tàbí o pa/ba alábòójútó fèrèsé náà jẹ́.	Lost connection to the display <UNK>; most likely the X server was shut down or you killed/destroyed the window manager.
Pánẹ́ẹ̀lì Ìléfòó Òsì	Left Floating Panel
Agbègbè tí àwọn àwòrán-áíkànnù ìkéde á farahàn	Area where notification icons appear
Tó bá jẹ́ òótọ́, ìjánu-ìsún ààyè-iṣẹ́ náà á fi gbogbo àwọn ààyè-iṣẹ́ hàn. Láì jẹ́ bẹ́ẹ̀ yóò kàn fi ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ náà hàn.	If true, the workspace switcher will show all workspaces. Otherwise it will only show the current workspace.
Ó ti kúrò láṣà	Deprecated
Àṣẹ tí a topọ̀ náà kò ṣiṣẹ́ a sì ti pààrọ rẹ̀ pẹ̀lú: <UNK>	The configured command is not working and has been replaced by: <UNK>
Kò sí (lo kókó ètò kọ̀ǹpútà)	None (use system theme)
Bẹ̀rẹ̀ Ìṣàfarawé Kọ̀ǹpútà	Start Animation
Parí Iṣẹ́	Log Out
Gbagbára iṣẹ́ ipá òǹlò láti ṣàfikún tàbí láti ṣàyẹ̀wò àwọn àmì-ìwé.	Disable the user's ability to add or edit bookmarks.
Gbé fèrèsé	Move window
Ṣí Àwòrán	Open Image
Mú táàbù tókàn ṣiṣẹ́	Activate next tab
Ìpínfúnni Láti Ọwọ́ọ	Issued By
Àtòjọ ID ápúlẹ́ẹ̀tì pánẹ́ẹ̀lì	Panel applet ID list
Sún sí ààyè-iṣẹ́ kìíní	Switch to workspace 1
Ṣàfikún	Update
Wá Àwọn líǹkì:	Find links:
Dúrọ́wà Aládàátì	Autoclose drawer
Fi àwọn àká-irinṣẹ́ hàn nípa ìpéwọ̀n	Show toolbars by default
Lòó gẹ́gẹ́ bíi ẹ̀yìn ojú-iṣẹ́ “<UNK>”	Use as desktop background “<UNK>”
Bẹ̀rẹ̀ àpẹẹrẹ aládàáni	Start an instance in netbank mode
Èdè àwọn ìrísí-lẹ́tà tí a ṣẹ̀ yàn lọ́wọ́lọ́wọ́	The currently selected fonts language
Ṣàyẹ̀wò Àwọn Àmì-ìwé	Edit Bookmarks
Ojú-ìwé ilé	Home page
Òṣùwọ̀n	Scale
Ṣàfikún èyí gẹ́gẹ́ bíi àtòjọ-ẹ̀yàn sí pánẹ́ẹ̀lì	Add this as menu to panel
A kò ṣègbékalẹ̀ bọ́tìnì <UNK>, kò lè ki aṣàfilọ̀lẹ̀	Key <UNK> is not set, cannot load launcher
Ìgbẹ̀yìn	Last
Pánẹ́ẹ̀lì ìpele-òkè tó ní nǹkan nínú	Toplevel panel containing object
Férémù yìí nìkan ni ko fihàn nínú fèrèsé yìí	Show the active downloads for this window
Àtòjọ-ẹ̀yàn GNOME gangan	The main GNOME menu
Àwọn àgbéwọlé aládàáṣe	Automatic downloads
Àdírẹ̀sì	Add
Ìgbà gbogbo ló máa ń fi àká táàbù hàn	Always show the tab bar
Àwọn Àmì-ìwé Wẹ́ẹ̀bù Epiphany	Epiphany Web Bookmarks
Ṣí àmì-ìwé yìí nínú táàbù wẹ́ẹ̀bù	Open this bookmark in a new tab
Wá wẹ́ẹ̀bù náà	Search the web
Lo àwọn ìrísí-lẹ́tà tìrẹ dípò àwọn ìrísí-lẹ́tà tí ojú-ìwé náà bèrè fún.	Use your own fonts instead of the fonts the page requests.
Armenian (ARMSCII-8)	Armenian (ARMSCII-8)
"Ohun ìdánimọ̀ pánẹ́ẹ̀lì tí a somọ́ dúrọ́wà yìí. Bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ ""nǹkan-dúrọ́wà""."	"The identifier of the panel attached to this drawer. This key is only relevant if the objecttype key is ""drawer-object""."
Irúfẹ́ Fáìlì: “<UNK>”. O lè ṣí “<UNK>” nípa lílo “<UNK>” tàbí kí o fi pamọ́.	File Type: “<UNK>”. You can open “<UNK>” using “<UNK>” or save it.
Ṣàtòpọ̀ awáròyìn wẹ́ẹ̀bù	Configure the web browser
Kò lè darapọ̀ mọ́ alábòójútó sáà	Disable connection to session manager
Fi àwòrán sí pánẹ́ẹ̀lì	Fit image to panel
Orúkọ èèyàn tí a lè kà ni èyí, tí o sì lè lò láti tọ́ka sí pánẹ́ẹ̀lì. Ìdí pàtàkì rẹ̀ ni láti ṣe iṣẹ́ gẹ́gẹ́ bíi àkọ́lé fèrèsé pánẹ́ẹ̀lì tí ó wúlò nígbà tí à ń tọpa láàrin àwọn pánẹ́ẹ̀lì.	This is a human readable name which you can use to identify a panel. Its main purpose is to serve as the panel's window title which is useful when navigating between panels.
Ẹ̀yà-ara kọ̀ǹpútà àìfojúrí ọ̀fẹ́ ni Awáròyìn Wẹ́ẹ̀bù GNOME; o lè tun pín kí o/tàbí tuntò lábẹ́ àwọn ìwọ̀fún Ìwé-àṣẹ Gbogbogbò ti GNU gẹ́gẹ́ bí a ṣe tẹ̀ẹ́ láti ọwọ́ Àjọ Ẹ̀yà-ara kọ̀ǹpútà Ọ̀fẹ́; yálà ẹ̀yà kejì ti Ìwé-àṣẹ, tàbí (ti ẹ̀yàn rẹ) ẹ̀yà mìíràn tó lè jáde lọ́jọ́ iwájú.	Web is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version.
Fún àwon atọ́ka-árò lágbára lórí àwọn bọ́tìnì ìpamọ́	Enable arrows on hide buttons
UnknownMonitor vendor	Hundreds of people have contributed code to GNOME since it was started in 1997; many more have contributed in other important ways, including translations, documentation, and quality assurance.
Lo àwọn àwọ̀ rẹ	Use own colors
Fi déèti hàn nínú ìtalólobó-irinṣẹ́	Show date in tooltip
Tìí ní móòdù ojú kọ̀ǹpútà kíkún	Lock in fullscreen mode
Ilé	Home
Ìyítumọ̀ ìpéwọ̀n	Default encoding
Àwọn Àbùdá Pánẹ́ẹ̀lì	Panel Properties
Fàyè gba àwọn gbàgede láti ṣí àwọn fèrèsé tuntun nípa lílo JavaScript (tí a bá fún JavaScript lágbára iṣẹ́).	Allow sites to open new windows using JavaScript (if JavaScript is enabled).
Kò sí (lo kókó ètò kọ̀ǹpútà)	Change system time
"Ipa tí a ti kọ́ àwọn àkóónú àtòjọ-ẹ̀yàn. Bọ́tìnì yìí kàn wúlò tí bọ́tìnìipaàtòjọ-ẹ̀yànìlò sì jẹ́ òótọ́ tí bọ́tìnìnǹkan jẹ́""nǹkan-àtòjọ-ẹ̀yàn"""	"The path from which the menu contents is contructed. This key is only relevant if the usemenupath key is true and the objecttype key is ""menu-object""."
Ìtàn ẹ̀yìn	All history
Àṣìṣe kíki fálù àwọn orúkọààyè-iṣẹ́gbogboìṣàfihàn fún Ìjánu-ìsún Ààyè-iṣẹ́: <UNK>	Error loading displayallworkspaces value for Workspace Switcher: <UNK>
Lo UTC	Use UTC
Àwọn Àmì-ìwé Wẹ́ẹ̀bù	Web bookmarks
Fèrèsé ìsàlẹ̀ lábẹ́ àwọn fèrèsé mìíràn	Lower window below other windows
Ṣàfikún Àká-irinṣẹ́ Tuntun	Add a New Toolbar
Lónìí	Today
Ní móòdù ẹ̀yàn kííbọọ̀dù, tẹ F7 láti jáde	In keyboard selection mode, press F7 to exit
Túnkì	Reload Anyway
Pa àtòjọ Àwọn Àkọsílẹ̀ Àìpẹ́ Rẹ́?	Clear the Recent Documents list?
Da padà sí àyè-iṣẹ́ ìbílẹ̀	Restore to native workspace
Àtòjọ àwọn IID ápúlẹ́ẹ̀tì tí pánẹ́ẹ̀lì máa patì. Lọ́nà yìí o lè gba agbára àwọn ápúlẹ́ẹ̀tì kan láti má ma ki àtòjọ-ẹ̀yàn tàbí fihàn nínú àtòjọ-ẹ̀yàn náà. Bí àpẹẹrẹ, láti lè gbaagbára ápúlẹ́ẹ̀tì aláṣẹ́-kékeré ṣàfikún 'OAFIID:GNOMEMiniCommanderApplet' sí àtòjọ yìí. A gbọ́dọ̀ tún pánẹ́ẹ̀lì náà bẹ̀rẹ̀ kí èyí tó lè wáyé.	A list of applet IIDs that the panel will ignore. This way you can disable certain applets from loading or showing up in the menu. For example to disable the mini-commander applet add 'OAFIID:GNOMEMiniCommanderApplet' to this list. The panel must be restarted for this to take effect.
Fáìlì tó ń jẹ́ orúkọ yìí ti wà nílẹ̀ tẹ́lẹ̀, o kò sì ní ìyànda láti ṣẹ̀dà le lórí.	An application with the same name already exists. Replacing it will overwrite it.
Àṣìṣe àìmọ̀ wáyé nígbà tí à ń gbìyànjú láti ṣí <UNK>	An unknown error occurred while trying to open <UNK>.
Pa Parí iṣẹ́ Rẹ́	Cancel Logout
"friendly time"" string for the current day, strftime format. like ""Today 12:34 am"	Epiphany profile migrator options
Thai (ISO-8859-11)	Thai (ISO-8859-11)
Àwọn àgbéwọlé	Downloads
"24-hour12-hour"". If your locale uses 24 hour time notation, translate this to ""24-hour12-hour24-hour"" or ""12-hour24 sata"" or anything else that isn't ""24-hour12-hour"	Time Settings
"Bí a ṣe lè ṣàgbékalẹ̀ àwọn àwòrán aṣàfarawé kọ̀ǹpútà. Àwọn fálù tó lẹ̀ jẹ́ ni ""déédé"", ""lẹ́ẹ̀kan"" àti ""gbagbára iṣẹ́""."	"How to present animated images. Possible values are ""normal"", ""once"" and ""disabled""."
<UNK> <UNK> of <UNK>	<UNK> <UNK> of <UNK>
Gbé wúnrẹ̀n tí a yàn lọ lórí àká-irinṣẹ́	Move the selected item on the toolbar
Fi àká àwọn àmì-ìwé hàn nípa ìpéwọ̀n	Show bookmarks bar by default
Japanese (Shift-JIS)	Japanese (Shift-JIS)
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Logout Anyway
Kò lè ṣàfihàn àkọsílẹ̀ ìrànwọ́	Error displaying help document
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, show the temperature next to the weather icon.
Ọ̀tọ̀ láti inú àtòjọ-ẹ̀yànìtasókè '<UNK>	Exception from popupmenu <UNK>
Fi ojú-ìwé lọ́wọ́lọ́wọ́ pamọ́	Save the current page as a Web Application
Fi àwọn fèrèsé ìtasókè tí a kò bèrè fún láti inú gbàgede yìí hàn tàbí pamọ́	Show or hide unrequested popup windows from this site
Fi déètì hàn nínú aago	Show temperature in clock
Wáròyìn kí o sì ṣààtò àwọn àmì-ìwé rẹ	Browse and organize your bookmarks
Àṣìṣe kíka fálù boolean GConf <UNK>: <UNK>	Error reading GConf boolean value <UNK>: <UNK>
Sún sí ààyè-iṣẹ́ kẹrin	Switch to workspace 4
Ààyè Aṣàfilọ́lẹ̀	Location
àwọn ìṣísẹ̀	seconds
Ipa:	Path:
Ti àkọ́gbéyẹ̀wò píríǹtìFrench (France)	Close print preview
Lo ìwọ̀n àyọkà déédéé náà	Use the normal text size
Bọ́tìnì yìí ń sọ ní pàtó iye férémù tí a óò ṣàfihàn wọn nínú ìṣàfarawé kọ̀ǹpútàẹja.	This key specifies the number of frames that will be displayed in the fish's animation.
Fi àwòrán pamọ́ “<UNK>”	Save image “<UNK>”
Àdírẹ̀sì ojú-ìwé	Page address
"requested"", ""minimummaximum"	"requested"", ""minimummaximum"
Gbé táàbù lọ́wọ́lọ́wọ́ lọ sí ọ̀tún	Move current tab to right
Ìtàn ẹ̀yìn	Search history
<UNK>:	<UNK>:
Píríǹtì ojú-ìwé lọ́wọ́lọ́wọ́	Print the current page
Aṣàfilọ́lẹ̀ Ìṣàmúlò-ètò...	Application Launcher...
Èdèfile type	Language
Tó bá jẹ́ òótọ́, pánẹ́ẹ̀lì náà kò ní fàyè gba òǹlò láti parí iṣẹ́ nípa yíyọ ààyèsí àwọn àmúwọlé àtòjọ-ẹ̀yàn ìparí iṣẹ́ kúrò.	If true, the panel will not allow a user to log out, by removing access to the log out menu entries.
Tọ́gù ipò ìfẹ̀lójú	Toggle maximization state
toolbar style	Icons only
http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8	http://www.bing.com/search?q=<UNK>
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Shut Down Anyway
Kò lè rí kókó! Rí dájú pé <UNK> wà ó sì ní àwọn kókó tó yẹ kó ní.	Could not find a theme! Be sure <UNK> exists and contains the usual themes.
Ìgbé àkójọpọ̀-ẹ̀rí láti “<UNK>”...	Transferring data from “<UNK>”…
Àdírẹ̀sì ojú-ìwé ilé òǹlò náà.	Address of the user's home page.
Fún àwọn ìṣàfarawé kọ̀ǹpútà lágbára	Enable animations
Àyè...	Location
Kò lè ṣí fáìlì ojú-iṣẹ́ <UNK> fún aṣàfilọ́lẹ̀ pánẹ́ẹ̀lì <UNK><UNK>	Unable to open desktop file <UNK> for panel launcher<UNK><UNK>
Gba àwọn fèrèsé awáròyìn àti àwọn táàbù tilẹ̀ padà?	Do you want to recover the previous browser windows and tabs?
"Sítàì àká-irinṣẹ́. Àwọn fálù tí a fàyè gbà ni """" (lo sítàì ìpéwọ̀n GNOME),.""àti"" (àyọkà àti àwọn áíkànnù), ""both-horiz"" (àyọkà yàtọ̀ sí àwọn áíkànnù), ""àwọn áíkànnù"" àti ""àyọkà""."	"Toolbar style. Allowed values are """" (use GNOME default style), ""both"" (text and icons), ""both-horiz"" (text besides icons), ""icons"", and ""text""."
Àpótí ìṣàfihàn fún àwọn ìyípadà àtòjọ-ẹ̀yàn	Monitor for menu changes
Àwọn Ibi Alátagbà	Network
Fi Bọ́tìnì Ojú-iṣẹ́ Hàn	Show Desktop Button
Tó bá jẹ́ òótọ́, a óò ṣe ìgbéléwọ̀n àwòrán (	If true, the image will be scaled (retaining the aspect ratio of the image) to the panel height (if horizontal).
Àkọ́kọ́	First
Àjọ:	Organization:
Tún fi àká táàbù náà hàn nígbà tóbá ti ẹ̀ jẹ́ wí pé táàbù kan wà ní ṣíṣí.	Show the tab bar also when there is only one tab open.
Yọ wúnrẹ̀n tí a yàn náà kúrò nínu àká-irinṣẹ́ náà	Remove the selected item from the toolbar
Gbagbá iṣẹ́ àwọn ìlàálẹ̀ òfin tó léwu	Disable unsafe protocols
Gbagbára iṣẹ́ ìṣàyẹ̀wò àmì-ìwé	Disable bookmark editing
Fún Java lágbára iṣẹ́	Enable WebGL
Ìṣòdíwọ̀n fèrèsé	Resize window
Ṣẹ̀dà Àdírẹ̀sì Lẹ́tà Kọ̀ǹpútà	Copy Email Address
Fi ojú-ìwé lọ́wọ́lọ́wọ́ pamọ́	Save the current page
Gbà Padà	Recover session
Fi ojú kọ̀ǹpútà píláàṣì hàn tí sáà náà bá ti bẹ̀rẹ̀	Show the splash screen when the session starts up
Ìbéèrè Fún Amúgbálẹ̀gbẹ́ Àká-ẹ̀gbẹ́	Sidebar Extension Required
Ìbéèrè fún amúgbálẹ̀gbẹ́ àká-ẹ̀gbẹ́	Sidebar extension required
Àwọn Àbùdá	Properties
Ìgbà Padà Ìdàrú	Crash Recovery
Irúfẹ́ Fáìlì: “<UNK>”. Ó léwú láti ṣí “<UNK>” bó ti jẹ́ wí pé ó ní agbára láti ba àwọn àkọsílẹ̀ rẹ jẹ́ tàbí kó já wọ ibi-ìkọ̀kọ̀ rẹ. Dípò èyí o lè ṣàgbéwọlé rẹ̀.	File Type: “<UNK>”. It is unsafe to open “<UNK>” as it could potentially damage your documents or invade your privacy. You can download it instead.
"Fi àwọn ojú-ìwé ìtàn tí a bẹ̀wò hàn ""nígbà gbogbo"", ""lọ́jọ́méjìsẹ́yìn"", ""lónìí""."	"Show the history pages visited ""ever"", ""lasttwodays"", ""lastthreedays"", ""today""."
Ń gbagbára iṣẹ́ kíki àkóónú láti inú àwọn ìlàálẹ̀ òfin tó léwu. Àwọn ìlàálẹ̀ òfin tí kò léwu ni http àti àwọn http.	Disables loading of content from unsafe protocols. Safe protocols are http and https.
Gbagbára iṣẹ́ gbogbo ìròyìn ajẹmọ́tàn nípa gbígbára ìtọpa ìlọsẹ́yìn àti iwájú. Kó má́ fàyè gba onísọ̀rọ̀gbèsì ìtàn kó sí fi àtòjọ àwọn àmì-ìwé tó lò jù pamọ́.	Disable all historical information by disabling back and forward navigation, not allowing the history dialog and hiding the most used bookmarks list.
Fidéètì hàn	Show weather
Fátìrì fún ìṣẹ̀dá àwọn ápúlẹ́ẹ̀tì aago.	Factory for creating clock applets.
Gbékalẹ̀ sí Ojú-ìwé Lọ́wọ́lọ́wọ́	Set to Current Page
Pa sáà	Default session
Dúrọ́wà	Drawer
Orúkọ ẹja náà	The fish's name
Gbagbára iṣẹ́ ipá òǹlò láti tẹ̀wé nínú URL sí Epiphany.	Disable the user's ability to type in a URL to Epiphany.
Àtòjọ àwọn ID ápúlẹ́ẹ̀tì pánẹ́ẹ̀lì. ID kọ̀ọ̀kan ń tọ́ka sí ápúlẹ́ẹ̀tì pánẹ́ẹ̀lì.A fi àwọn ààtò fún àwọn ápúlẹ́ẹ̀tì kọ̀ọ̀kan pamọ́ sínú /apps/panel/applets/$(id).	A list of panel applet IDs. Each ID identifies an individual panel applet. The settings for each of these applets are stored in /apps/panel/applets/$(id).
Gbàgede-wẹ́ẹ̀bù Awáròyìn Wẹ́ẹ̀bù GNOME	Web Website
Má Gbàá Padà	Don't recover
Ìbẹ̀rẹ̀ iṣẹ́ kọ̀ǹpútà kùnà nítorí àṣìṣe wọ̀nyí: <UNK>	Startup failed because of the following error: <UNK>
Pánẹ́ẹ̀lì Igun Ìsàlẹ̀ Tí a Fẹ̀	Bottom Expanded Edge Panel
Pánẹ́ẹ̀lì Ìléfòó Òkè	Top Floating Panel
"MirrorPantallas en Espejo"", *not* ""Espejar Pantallas"	required virtual size does not fit available size: requested=(d, d), minimum=(d, d), maximum=(d, d)
Pánẹ́ẹ̀lì Igun Òkè	Top Edge Panel
Àṣìṣe IO ńlá d (<UNK>) lórí ìṣàfihàn <UNK>.	Fatal IO error d (<UNK>) on display <UNK>.
Kọ́lọ̀mù àkọ́lé nìkan ni kí o fihàn	Show only the title column
Epiphany kò lè jáde	Epiphany cannot quit
Ṣàgbéwọlé àwọn fáìlì náà láládàáṣe kí o sì ṣí wọn	Automatically download and open files
Àwọn àyọkà ìsàlẹ̀-ilà	Style
"Irúfẹ́ ẹ̀yìn wo la ó lò fún pánẹ́ẹ̀lì yìí. Àwọn fálù tó lè jẹ́ ni ""gtk"" - a óò lo ẹ̀yìn wíjẹ́ẹ̀tì ìpéwọ̀n GTK+, ""àwọ̀"" a óò lo bọ́tìnì àwọ̀ gẹ́gẹ́ bíi àwọ̀ ẹ̀yìn tàbí ""àwòrán"" - àwòrán tí bọ́tìnì àwòrán sọ la ó lò gẹ́gẹ́ bíi ẹ̀yìn."	"Which type of background should be used for this panel. Possible values are ""none"" - the default GTK+ widget background will be used, ""color"" - the color key will be used as background color or ""image"" - the image specified by the image key will be used as background."
"Kò lè fi ojú kọ̀ǹpútà d tí a ṣàfihàn sílẹ̀<UNK> Control"", ""Shiftdisabled"	Could not release screen d on display <UNK>
ÀwọnÌwé-ẹ̀rí	Certificate:
"Fẹ àtòjọ àtòjọ-ètò inú onísọ̀rọ̀gbèsì ""Rọ́ọ̀nù Ìṣàmúlò-ètò"""	"Expand program list in ""Run Application"" dialog"
Gbàgede-wẹ́ẹ̀bù Awáròyìn Wẹ́ẹ̀bù GNOME	GNOME Web Browser Website
Irinṣẹ́ àtòpọ̀ àkókò	Time configuration tool
Àtòjọ Fèrèsé náà ń fi àtòjọ gbogbo àwọn fèrèsé inú ìjọ àwọn bọ́tìnì hàn, ó sì ńjẹ́ kí o wáròyìn wọn.	The Window List shows a list of all windows in a set of buttons and lets you browse them.
Líǹkì tí o tẹ̀, nílò ká fi amúgbálẹ̀gbẹ́ àká-ẹ̀gbẹ́ sípò fún.	The link you clicked needs the sidebar extension to be installed.
ṢèdàDéètì	Copy Date
